,Date_year,open,high_value,low,close,adjclose,total_volume,ticker
165,6/17/2022,9.970100403,9.970100403,9.970100403,9.970100403,9.970100403,1130,XFINU
166,6/21/2022,10.0,10.0,10.0,10.0,10.0,12220,XFINU
167,6/22/2022,10.0,10.0,10.0,10.0,10.0,0,XFINU
168,6/23/2022,9.949999809,9.990200043,9.949999809,9.971500397,9.971500397,2147,XFINU
169,6/24/2022,9.971500397,9.971500397,9.971500397,9.971500397,9.971500397,0,XFINU
170,6/27/2022,10.10999966,10.10999966,10.10999966,10.10999966,10.10999966,287,XFINU
171,6/28/2022,10.10999966,10.10999966,10.10999966,10.10999966,10.10999966,0,XFINU
172,6/29/2022,10.10999966,10.10999966,10.10999966,10.10999966,10.10999966,0,XFINU
173,6/30/2022,9.970000267,9.970100403,9.970000267,9.970100403,9.970100403,2572,XFINU
174,7/1/2022,9.970100403,9.970100403,9.970100403,9.970100403,9.970100403,0,XFINU
175,7/5/2022,10.02999973,10.02999973,9.960000038,10.02999973,10.02999973,3709,XFINU
176,7/6/2022,10.06719971,10.06719971,10.05000019,10.05000019,10.05000019,766,XFINU
177,7/7/2022,9.949999809,10.05000019,9.949999809,10.05000019,10.05000019,3098,XFINU
178,7/8/2022,10.05000019,10.05000019,10.05000019,10.05000019,10.05000019,0,XFINU
179,7/11/2022,10.05000019,10.05000019,10.05000019,10.05000019,10.05000019,551,XFINU
180,7/12/2022,9.895999908,10.11999989,9.803199768,10.11999989,10.11999989,2700,XFINU
181,7/13/2022,10.11999989,10.11999989,10.11999989,10.11999989,10.11999989,0,XFINU
182,7/14/2022,10.11999989,10.11999989,10.11999989,10.11999989,10.11999989,0,XFINU
183,7/15/2022,10.11999989,10.11999989,10.11999989,10.11999989,10.11999989,0,XFINU
184,7/18/2022,10.11999989,10.11999989,10.11999989,10.11999989,10.11999989,0,XFINU
185,7/19/2022,10.01000023,10.01000023,9.979999542,9.979999542,9.979999542,1125,XFINU
186,7/20/2022,9.979999542,9.979999542,9.979999542,9.979999542,9.979999542,0,XFINU
187,7/21/2022,9.979999542,9.979999542,9.979999542,9.979999542,9.979999542,0,XFINU
188,7/22/2022,9.979999542,9.979999542,9.979999542,9.979999542,9.979999542,0,XFINU
189,7/25/2022,9.979999542,9.979999542,9.979999542,9.979999542,9.979999542,0,XFINU
190,7/26/2022,9.979999542,9.979999542,9.979999542,9.979999542,9.979999542,0,XFINU
191,7/27/2022,9.979999542,9.979999542,9.979999542,9.979999542,9.979999542,0,XFINU
192,7/28/2022,9.979999542,9.979999542,9.979999542,9.979999542,9.979999542,0,XFINU
193,7/29/2022,9.979999542,9.979999542,9.979999542,9.979999542,9.979999542,0,XFINU
194,8/1/2022,9.979999542,9.979999542,9.979999542,9.979999542,9.979999542,0,XFINU
195,8/2/2022,9.979999542,10.0,9.979999542,10.0,10.0,533,XFINU
196,8/3/2022,10.0,10.0,10.0,10.0,10.0,0,XFINU
197,8/4/2022,10.0,10.0,10.0,10.0,10.0,0,XFINU
198,8/5/2022,10.0,10.0,10.0,10.0,10.0,0,XFINU
199,8/8/2022,10.0,10.0,10.0,10.0,10.0,0,XFINU
200,8/9/2022,10.0,10.0,10.0,10.0,10.0,0,XFINU
201,8/10/2022,10.0,10.02999973,10.0,10.0,10.0,1447,XFINU
202,8/11/2022,10.0,10.0,10.0,10.0,10.0,0,XFINU
203,8/12/2022,10.0,10.0,10.0,10.0,10.0,0,XFINU
204,8/15/2022,10.0,10.0,10.0,10.0,10.0,0,XFINU
205,8/16/2022,10.0,10.0,10.0,10.0,10.0,0,XFINU
206,8/17/2022,10.0,10.0,10.0,10.0,10.0,0,XFINU
207,8/18/2022,10.0,10.0,10.0,10.0,10.0,0,XFINU
208,8/19/2022,10.0,10.0,10.0,10.0,10.0,0,XFINU
209,8/22/2022,10.0,10.0,10.0,10.0,10.0,0,XFINU
210,8/23/2022,10.0,10.0,10.0,10.0,10.0,0,XFINU
211,8/24/2022,10.0,10.0,10.0,10.0,10.0,0,XFINU
212,8/25/2022,10.0,10.0,10.0,10.0,10.0,0,XFINU
213,8/26/2022,10.0,10.0,10.0,10.0,10.0,0,XFINU
214,8/29/2022,10.0,10.0,10.0,10.0,10.0,0,XFINU
215,8/30/2022,9.989999771,9.989999771,9.989999771,9.989999771,9.989999771,1092,XFINU
216,8/31/2022,9.989999771,9.989999771,9.989999771,9.989999771,9.989999771,0,XFINU
217,9/1/2022,10.0,10.0,9.979999542,10.0,10.0,2311,XFINU
218,9/2/2022,9.979999542,9.979999542,9.960000038,9.970000267,9.970000267,13863,XFINU
219,9/6/2022,9.970000267,9.970000267,9.970000267,9.970000267,9.970000267,0,XFINU
220,9/7/2022,9.970000267,9.970000267,9.970000267,9.970000267,9.970000267,141,XFINU
221,9/8/2022,9.970000267,9.970000267,9.970000267,9.970000267,9.970000267,0,XFINU
222,9/9/2022,9.970000267,9.970000267,9.970000267,9.970000267,9.970000267,0,XFINU
223,9/12/2022,10.0,10.0,10.0,10.0,10.0,3200,XFINU
224,9/13/2022,10.09000015,10.09000015,10.09000015,10.09000015,10.09000015,300,XFINU
225,9/14/2022,10.0,10.0,10.0,10.0,10.0,1000,XFINU
226,9/15/2022,10.0,10.0,10.0,10.0,10.0,2800,XFINU
227,9/16/2022,10.09000015,10.09000015,10.09000015,10.09000015,10.09000015,100,XFINU
228,9/19/2022,10.09000015,10.09000015,10.09000015,10.09000015,10.09000015,0,XFINU
229,9/20/2022,10.09000015,10.09000015,10.09000015,10.09000015,10.09000015,0,XFINU
230,9/21/2022,10.0,10.0,10.0,10.0,10.0,1300,XFINU
231,9/22/2022,10.0,10.0,10.0,10.0,10.0,0,XFINU
232,9/23/2022,10.0,10.0,10.0,10.0,10.0,0,XFINU
233,9/26/2022,10.0,10.02999973,10.0,10.02999973,10.02999973,1067,XFINU
234,9/27/2022,10.02999973,10.02999973,10.02999973,10.02999973,10.02999973,0,XFINU
235,9/28/2022,10.01650047,10.01650047,10.01650047,10.01650047,10.01650047,1000,XFINU
236,9/29/2022,10.01650047,10.01650047,10.01650047,10.01650047,10.01650047,0,XFINU
237,9/30/2022,10.01650047,10.01650047,10.01650047,10.01650047,10.01650047,0,XFINU
238,10/3/2022,10.01650047,10.01650047,10.01650047,10.01650047,10.01650047,0,XFINU
239,10/4/2022,10.01650047,10.01650047,10.01650047,10.01650047,10.01650047,0,XFINU
240,10/5/2022,10.02999973,10.02999973,10.02000046,10.02000046,10.02000046,718,XFINU
241,10/6/2022,10.02000046,10.02000046,10.02000046,10.02000046,10.02000046,0,XFINU
242,10/7/2022,10.02999973,10.02999973,10.02999973,10.02999973,10.02999973,15944,XFINU
243,10/10/2022,10.02999973,10.02999973,10.02999973,10.02999973,10.02999973,200,XFINU
244,10/11/2022,10.02999973,10.02999973,10.02999973,10.02999973,10.02999973,0,XFINU
245,10/12/2022,10.02999973,10.02999973,10.02999973,10.02999973,10.02999973,3500,XFINU
246,10/13/2022,10.02999973,10.02999973,10.02999973,10.02999973,10.02999973,0,XFINU
247,10/14/2022,10.02999973,10.02999973,10.02999973,10.02999973,10.02999973,0,XFINU
248,10/17/2022,10.02999973,10.02999973,10.02999973,10.02999973,10.02999973,0,XFINU
249,10/18/2022,10.00010014,10.02999973,10.00010014,10.02000046,10.02000046,1600,XFINU
250,10/19/2022,10.02000046,10.02000046,10.02000046,10.02000046,10.02000046,0,XFINU
251,10/20/2022,10.02999973,10.05000019,10.00500011,10.05000019,10.05000019,11609,XFINU
252,10/21/2022,10.05000019,10.05000019,10.05000019,10.05000019,10.05000019,0,XFINU
253,10/24/2022,10.07999992,10.07999992,10.07999992,10.07999992,10.07999992,700,XFINU
254,10/25/2022,10.07999992,10.07999992,10.07999992,10.07999992,10.07999992,0,XFINU
255,10/26/2022,10.07999992,10.07999992,10.07999992,10.07999992,10.07999992,0,XFINU
256,10/27/2022,10.07999992,10.07999992,10.07999992,10.07999992,10.07999992,0,XFINU
257,10/28/2022,10.07999992,10.07999992,10.07999992,10.07999992,10.07999992,0,XFINU
258,10/31/2022,10.07999992,10.07999992,10.07999992,10.07999992,10.07999992,0,XFINU
259,11/1/2022,10.10999966,10.10999966,10.01000023,10.01000023,10.01000023,1050,XFINU
260,11/2/2022,10.01000023,10.01000023,10.01000023,10.01000023,10.01000023,0,XFINU
261,11/3/2022,10.01000023,10.01000023,10.01000023,10.01000023,10.01000023,0,XFINU
262,11/4/2022,10.01000023,10.01000023,10.01000023,10.01000023,10.01000023,0,XFINU
263,11/7/2022,10.09000015,10.09000015,10.08990002,10.09000015,10.09000015,30056,XFINU
264,11/8/2022,10.09000015,10.09000015,10.09000015,10.09000015,10.09000015,0,XFINU
265,11/9/2022,10.06999969,10.06999969,10.06999969,10.06999969,10.06999969,1100,XFINU
266,11/10/2022,10.06999969,10.06999969,10.06999969,10.06999969,10.06999969,0,XFINU
267,11/11/2022,10.06999969,10.06999969,10.06999969,10.06999969,10.06999969,0,XFINU
